,favourites_count,followers_count,friends_count,listed_count,retweet_count,statuses_count,text_length
3106,191705,1701,1202,141,1549,174127,140
3107,245182,2759,3020,235,22,190927,128
3108,8665,3720,4207,59,1,199399,114
3109,14923,457,266,35,8,20543,129
3110,74261,1456,2177,30,1549,57250,140
3111,8157,185,551,16,0,8695,118
3112,256713,5773,5690,149,1,146452,140
3113,5582,147,1130,0,8,2704,115
3114,14933,873,1264,31,0,27130,139
3115,1161,1130,251,86,0,31423,140
3116,2708,295,87,12,0,25662,139
3117,31229,1743,934,210,17,53291,130
3118,30115,3248,2815,54,3,38426,143
3119,19,45,240,2,0,379,104
3120,2208,18153,747,624,4,31679,120
3121,2424,1119,1185,14,219,9065,144
3122,10785,713,702,46,48,47446,140
3123,6030,385,845,20,0,3290,132
3124,6758,795,157,9,102,23169,144
3125,952,179,218,3,0,1894,52
3126,22112,462,1536,15,0,5993,124
3127,29282,738,1060,64,0,28792,42
3128,186,73,40,0,60,466,126
3129,430,2920,96,22,4,59083,140
3130,3347,165,197,9,24,3514,106
3131,3661,418,520,11,2,1537,140
3132,46843,849,467,66,160,103238,144
3133,30187,1987,1539,29,145,83694,139
3134,12401,461,413,20,13,23452,121
3135,33967,1176,3952,132,43,51887,140
3136,20947,719,649,14,1,37737,129
3137,25195,1881,1147,28,90,20102,144
3138,169634,1407,789,127,1549,120866,140
3139,31586,828,3355,47,24,38243,106
3140,19905,225,73,27,1,19952,135
3141,4489,9711,1476,123,2,43322,38
3142,159090,11433,1278,297,906,66703,139
3143,14829,281,1172,10,1549,8878,140
3144,46510,363744,9886,7120,205,224783,95
3145,12185,507,885,41,0,14550,124
3146,4344,699,1206,21,0,8924,140
3147,55331,721,893,24,58,32280,130
3148,18009,774,433,46,906,28934,139
3149,118568,1814,2643,93,123,45745,140
3150,3347,165,197,9,198,3514,76
3151,46843,849,467,66,286,103238,144
3152,46843,849,467,66,477,103238,140
3153,54207,1239,497,45,22,108570,128
3154,43,34,14,10,0,3808,27
3155,6175,125,205,50,1,12967,143
3156,4622,1574,1592,23,1,31354,138
3157,321,72,94,1,1,1246,140
3158,2637,1496,1341,102,137,46224,140
3159,4308,205,108,3,1,7710,120
3160,13,30,129,2,1,890,135
3161,19,4,2,1,0,485,42
3162,24694,696,735,21,0,48032,127
3163,10669,283,175,15,175,84169,140
3164,252001,1613,1359,103,0,103816,97
3165,3347,165,197,9,37,3514,117
3166,73996,383,529,25,205,28134,95
3167,6913,708,1298,12,145,15987,139
3168,50891,1081,2288,61,48,93520,140
3169,30525,1932,472,71,3,46419,112
3170,4492,810,1512,6,48,12170,140
3171,60990,1039,1386,37,1066,106559,148
3172,165023,1378,802,220,4,114881,103
3173,1850,115,138,4,102,3069,144
3174,109027,225,235,23,906,52316,139
3175,61947,563,223,118,4,48759,88
3176,3348,323,519,8,48,5502,140
3177,14923,457,266,35,4,20543,103
3178,61947,563,223,118,10,48759,128
3179,3627,192,175,60,0,7050,139
3180,15584,685,1244,4,0,6308,129
3181,1640,191,230,2,0,4607,133
3182,65530,17760,2526,755,906,212254,139
3183,49687,772,1206,140,906,86913,139
3184,12399,573,502,37,0,23295,132
3185,538,620,750,13,1,4161,140
3186,10231,75,250,7,5,8407,140
3187,1282,435,176,14,0,12960,139
3188,270088,4718,4707,254,1,236386,137
3189,1465,923,1448,10,51,5506,140
3190,7451,137,357,6,0,4358,136
3191,8665,3720,4207,59,1,199399,134
3192,6177,367,332,16,0,21254,131
3193,19905,225,73,27,0,19952,81
3194,3221,144,604,3,1,7207,132
3195,2590,44,9,0,0,4309,137
3196,2145,364,806,6,419,3599,133
3197,169634,1407,789,127,219,120866,144
3198,3661,418,520,11,20,1537,140
3199,186,73,40,0,0,466,83
3200,538,620,750,13,0,4161,118
3201,3716,248,214,16,0,8925,136
3202,5702,750,1011,48,0,30113,132
3203,5568,3028,2782,289,198,181531,76
3204,14613,595,238,21,0,32494,108
3205,1695,156,264,55,395,25037,137
3206,104260,1804,1714,98,2,129793,124
3207,2905,1089,1624,34,0,10159,79
3208,117746,614,573,68,1,65275,140
3209,8070,260,251,10,205,9665,95
3210,903,508,1366,7,22,2313,128
3211,106613,713,740,122,28,82008,140
3212,6830,612,920,10,48,6876,140
3213,18389,4734,2196,212,0,32257,89
3214,19004,122,428,4,906,3822,139
3215,14,352,182,17,13,8235,86
3216,36111,1599,1198,73,1,57572,70
3217,368717,1575,1104,284,0,358427,92
3218,419,45,145,2,0,4361,139
3219,690,805,988,5,0,1167,101
3220,0,221,30,96,0,36804,87
3221,85,174,199,3,0,3630,114
3222,15324,909,1342,48,906,24404,139
3223,36364,173,105,44,419,35317,133
